15639909,Karavshin Valley,Valleys,Valleys,Batken ,Batken,Batken,,,,,,
24990462,Batken Central Mosque,Religious Sites,Religious Sites,Batken ,Batken,Batken,"Batken, Batken 715100 Kyrgyzstan",,,,,
24990464,Mechet,Religious Sites,Religious Sites,Batken ,Batken,Batken,"Batken, Batken 715100 Kyrgyzstan",,,,,
735790,Ala-Archa Gorge,National ParksGeologic Formations,National Parks Geologic Formations,Chui,Chui,Bishkek,,http://ala-archa.kg/,9.97E+11,info@ala-archa.kg,,
611200,Osh Bazaar,Flea & Street Markets,Flea & Street Markets,Chui,Chui,Bishkek,,http://www.facebook.com/Kyrgyzguides/,9.97E+11,,42.870679,74.59064
3665606,Panfilov Park,Parks,Parks,Chui,Chui,Bishkek,"368 Frunze Street, Bishkek 720000 Kyrgyzstan",https://www.facebook.com/park.panfilova/,9.96E+11,,42.867355,74.592627
459876,State History Museum,History Museums,History Museums,Chui,Chui,Bishkek,"Ala-Too Square, Bishkek 720000 Kyrgyzstan",,9.96E+11,,42.867355,74.592627
7396665,Ala-Too Square,Historic Sites,Historic Sites,Chui,Chui,Bishkek,,,,,42.867355,74.592627
459878,Mikhail Frunze Museum,Military Museums,Military Museums,Chui,Chui,Bishkek,"364, Frunze Str., Bishkek 720000 Kyrgyzstan",http://domfrunze.kg/,227700,,42.867355,74.592627
6726558,Spa Center Afrodita and Apollo,Spas,Spas,Chui,Chui,Bishkek,"Zhukeyeva-Pudovkina St., 41/Skryabina, Bishkek 720000 Kyrgyzstan",http://baytur.kg/,9.97E+11,pr@baytur.kg,42.850913,74.59484
8761397,Monument to Manas the Great,Historic SitesPoints of Interest & Landmarks,Historic Sites Points of Interest & Landmarks Monuments & Statues,Chui,Chui,Bishkek,,http://daniyarov.kg/,9.97E+11,assele@gmail.com,42.867355,74.592627
3710581,Dordoi Bazaar,Flea & Street Markets,Flea & Street Markets,Chui,Chui,Bishkek,,http://www.dordoi.net/,9.99E+11,,42.906078,74.60261
459877,Museum of Fine Arts,Art Museums,Art Museums,Chui,Chui,Bishkek,"196, Sovietskaya Str., Bishkek 720000 Kyrgyzstan",http://knmii.kg/,266867,,42.867355,74.592627
7790854,Monument to Those Who Died For Freedom,Monuments & Statues,Monuments & Statues,Chui,Chui,Bishkek,"Crossing of Chui Avenue and Panfilova St., Bishkek 720000 Kyrgyzstan",,,,42.867355,74.592627
10021245,Issyk-Ata Gorge,Hiking Trails,Hiking Trails,Chui,Chui,Bishkek,,,,,,
10206030,Konorchek Canyons,MountainsNature & Wildlife Areas,Mountains Nature & Wildlife Areas Canyons,Chui,Chui,Bishkek,,http://www.facebook.com/Pegasadventure/,9.96E+11,,,
8411429,Bishkek Park,Shopping Malls,Shopping Malls,Chui,Chui,Bishkek,"Kiyevskaya St., 148, Bishkek 720000 Kyrgyzstan",http://bishkekpark.kg/,9.96E+11,,42.867355,74.592627
10758340,Victory Square,Points of Interest & Landmarks,Points of Interest & Landmarks,Chui,Chui,Bishkek,,,,,42.867355,74.594163
10021159,Alamedin Gorge,MountainsNature & Wildlife Areas,Mountains Nature & Wildlife Areas Geologic Formations,Chui,Chui,Bishkek,,,,,,
8090038,Flagstaff With Country Flag,Points of Interest & LandmarksLookouts,Points of Interest & Landmarks Lookouts,Chui,Chui,Bishkek,"Ala-Too Square, Bishkek, Kyrgyzstan Boz-Boltok Mountain, Bishkek 720000 Kyrgyzstan",,,,42.867355,74.592627
7790830,Monument to Baatyr Kaba Uulu Kozhomkul,Monuments & Statues,Monuments & Statues,Chui,Chui,Bishkek,"Togolok Moldo St., Bishkek 720000 Kyrgyzstan",http://www.tuk.kg/index.php,9.96E+11,,42.867355,74.592627
8761392,Monument to Chingiz Aitmatov,Points of Interest & LandmarksMonuments & Statues,Points of Interest & Landmarks Monuments & Statues,Chui,Chui,Bishkek,,,,,42.867355,74.592627
8323655,Ski Complex Chunkurchak,Ski & Snowboard Areas,Ski & Snowboard Areas,Chui,Chui,Bishkek,"Tract Chunkurchak, Bishkek 720000 Kyrgyzstan",http://chunkurchak.kg/,9.97E+11,info@chunkurchak.kg,,
10021148,Chunkurchak Gorge,Hiking Trails,Hiking Trails,Chui,Chui,Bishkek,,,,,,
8059938,Holy Resurrection Cathedral,Churches & Cathedrals,Churches & Cathedrals,Chui,Chui,Bishkek,"Zhibek-Zholu Avenue, 497, Bishkek 720000 Kyrgyzstan",http://www.eparchia.kg/blagochiniya/1,9.96E+11,,,
9798292,Bishkek-City,Shopping Malls,Shopping Malls,Bish+E27:F50kek,Bishkek,Bishkek,"Suyumbayeva, 142/2, Bishkek 720000 Kyrgyzstan",http://nomadsland.ch/,9.97E+11,,42.870679,74.598728
5999967,Central Mosque,Points of Interest & Landmarks,Points of Interest & Landmarks,Chui,Chui,Bishkek,,,,,,
4942172,Erkindik Statue,Points of Interest & LandmarksMonuments & Statues,Points of Interest & Landmarks Monuments & Statues,Chui,Chui,Bishkek,"Ala-Too Square, Bishkek 720000 Kyrgyzstan",,,,42.870679,74.592627
6478895,Kashka-Suu Ski Resort,Ski & Snowboard Areas,Ski & Snowboard Areas,Chui,Chui,Bishkek,,http://www.kashka-suu.kg/,9.97E+11,,,
13428134,Ski resort Too-Ashuu,Ski & Snowboard Areas,Ski & Snowboard Areas,Chui,Chui,Bishkek,"Zhukeeva-Pudovkina St., 41, Bishkek 720005 Kyrgyzstan",http://www.baytur.kg/,9.97E+11,booking@baytur.kg,,
12529324,Oak Park,Parks,Parks,Chui,Chui,Bishkek,"Pushkin St., Bishkek 720000 Kyrgyzstan",,,,42.870679,74.592627
10324965,Boom Gorge,MountainsValleys,Mountains Valleys,Chui,Chui,Bishkek,,,,,,
9560733,Tsum Center,Shopping Malls,Shopping Malls,Chui,Chui,Bishkek,"155 Chuy Ave, Bishkek 720000 Kyrgyzstan",http://tsum.kg/,9.97E+11,tsum2@tsum.kg,42.870679,74.592627
11797255,Sport Complex T-CLUB,Sports Complexes,Sports Complexes,Chui,chui,Bishkek,"Toktogula St., 75, Bishkek 720000 Kyrgyzstan",http://t-club.business.site/,9.97E+11,tclub.kg@gmail.com,42.870679,74.592627
13094364,Asia Mall,Shopping Malls,Shopping Malls,Chui,chui,Bishkek,"3 Manas Ave, Bishkek 720000 Kyrgyzstan",http://www.asiamall.kg/,,,42.866735,74.592627
6474885,Tower with Chimes,Points of Interest & LandmarksObservation Decks & Towers,Points of Interest & Landmarks Observation Decks & Towers,Chui,chui,Bishkek,"Chui ave and Abdrakhmanova st building KyrgyzTelecom, Bishkek 720000 Kyrgyzstan",http://www.kt.kg/news/?ELEMENT_ID=1663,,,42.870679,74.592487
459882,Museum of Graphic Arts /Tinibek Sadykov,Art Museums,Art Museums,Chui,Chui,Bishkek,,,,,,
459880,Zoological Museum,Speciality Museums,Speciality Museums,Chui,Chui,Bishkek,"78, Pushkin Str., Bishkek 720000 Kyrgyzstan",http://www.zm.kg/,9.96E+11,,,
21008109,Banya Baytur,Spas,Spas,Chui,chui,Bishkek,"Zhukeyeva Pudovkina St., 41, Bishkek 720000 Kyrgyzstan",http://www.baytur.kg/,9.96E+11,info@baytur.kg,42.861373,74.59484
459860,Manas Museum,Speciality Museums,Speciality Museums,Chui,Chui,Bishkek,"Talas, Bishkek 720000 Kyrgyzstan",,,,,
10112269,Too-Ashu Pass,Scenic Drives,Scenic Drives,chui,Chui,Bishkek,"Bishkek-Osh Highway, Bishkek 720000 Kyrgyzstan",,,,,
10112272,Ak-Sai Glacier,MountainsNature & Wildlife Areas,Mountains Nature & Wildlife Areas Valleys,Chui,chui,Bishkek,,,,,,
13202367,Aichurek Mall Fountains,Fountains,Fountains,Chui,Chui,Bishkek,"Chui Ave., 155, Bishkek 720000 Kyrgyzstan",,,,42.870679,74.592627
15056456,Kurmanzhan Datka Statue,Points of Interest & LandmarksMonuments & Statues,Points of Interest & Landmarks Monuments & Statues,Chui,chui,Bishkek,"Pushkin St. Dubovy Park, Bishkek 720000 Kyrgyzstan",,,,,
13417622,Vladimir Lenin Statue,Monuments & Statues,Monuments & Statues,Chui,Chui,Bishkek,"Abdumomunov Street Behind the State History Museum, Bishkek 720000 Kyrgyzstan",,,,42.870679,74.592627
459879,Aaly Tokombaev House Museum,Speciality Museums,Speciality Museums,Chui,Chui,Bishkek,"109, Chuykov Str., Bishkek 720000 Kyrgyzstan",,664756,,,
9798267,Ataturk Park,National Parks,National Parks,Chui,Chui,Bishkek,"Shakirova, 31A, Bishkek 720000 Kyrgyzstan",,,,42.850913,74.59484
10021099,Sokuluk Gorge,MountainsNature & Wildlife Areas,Mountains Nature & Wildlife Areas Geologic Formations,Chui,Chui,Bishkek,,http://www.tuk.kg/index.php,9.96E+11,,,
459881,Geological Museum and Mineralogical Museum,Science Museums,Science Museums,Chui,Chui,Bishkek,"1, Erkindik Prospect, Bishkek 720000 Kyrgyzstan",,,,,
459884,Toktogul Literary Museum,Speciality Museums,Speciality Museums,Chui,chui,Bishkek,"109, Kievskaya Str., Bishkek 720000 Kyrgyzstan",,227693,,,
10084861,Korona Peak,MountainsNational Parks,Mountains National Parks Forests Geologic Formations Valleys,chui,Chui,Bishkek,,http://www.tuk.kg/index.php,9.96E+11,,,
